COD_COMUNA,COD_ZonLoc,Clave,Nombre,Tipo,COD_REGION,REGION,COD_PROVIN,PROVINCIA,NOMBRE_COM,PobTotH,PobTotM,Pob_0_5,Pob_6_10,Pob_11_15,Pob_16_20,Pob_21_25,Pob_26_30,Pob_31_35,Pob_36_40,Pob_41_45,Pob_46_50,Pob_51_55,Pob_56_60,Pob_61_65,Pob_66_70,Pob_71_75,Pob_76_80,Pob_81_85,Pob_86_90,Pob_mayor_,Emig_10_17,Emig_00_09,Emig_90_99,Emig_ant90,AsisEdu_SI,AsisEdu_NO,AsisEdu_Nu,Curso_0,Curso_1,Curso_2,Curso_3,Curso_4,Curso_5,Curso_6,Curso_7,Curso_8,PobIndigen,ind_Mapuch,ind_Aymara,ind_RapaNu,ind_LicanA,ind_Quechu,ind_Colla,ind_Diagui,ind_Kawesq,ind_Yagan_,ind_Otros,indG_Mapuc,indG_Aymar,indG_RapaN,indG_Lican,indG_Quech,indG_Colla,indG_Diagu,indG_Kawes,indG_Yagan,indG_Otros,ind_o_Lafq,ind_o_Pehu,ind_o_Huil,ind_o_Picu,ind_o_Chan,ind_o_Chon,ind_o_Ona,ind_o_Tehu,ind_o_AL,ind_o_Mund,ind_o_Afro,ind_o_Otro,ind_o_NoDe,Trabajo_1,Trabajo_2,Trabajo_3,Trabajo_4,Trabajo_5,Trabajo_6,Trabajo_7,Trabajo_8
2104,2104092012,2104092012,SIERRA PAPOSO,Zona,2,REGIÓN DE ANTOFAGASTA,21,ANTOFAGASTA,TALTAL,7372,5755,1051,992,943,747,857,1155,1044,1001,998,951,906,767,625,360,307,178,136,78,31,324,62,21,14,3386,8654,551,791,862,1444,1152,4273,872,790,339,1307,3323,352,97,1,29,38,66,226,1,0,2513,354,97,1,29,38,66,226,1,0,2511,0,1,1,0,2446,0,1,0,13,1,3,0,47,5679,105,860,385,522,1246,721,457
2201,2201152901,2201152901,TURI,Zona,2,REGIÓN DE ANTOFAGASTA,22,EL LOA,CALAMA,85423,79396,14870,12430,11872,11678,13188,15291,14289,13284,12506,10703,10376,8306,6006,3903,2700,1610,990,555,262,13272,3282,895,698,48156,102286,8241,9681,10755,19809,15319,57146,12531,8036,3712,10776,39476,4320,4880,14,18041,7136,339,3417,31,19,1279,4368,4880,14,18041,7136,339,3417,31,19,1231,0,9,35,4,22,0,4,0,180,16,73,2,934,69043,1182,5283,6780,10732,16130,7250,6833
2202,2202022002,2202022002,QUEBRADA DEL INCA,Localidad,2,REGIÓN DE ANTOFAGASTA,22,EL LOA,OLLAGÜE,207,114,23,21,16,12,23,36,31,38,30,27,16,17,7,8,8,3,3,2,0,37,18,12,13,72,223,19,17,23,33,27,116,26,16,7,21,215,4,15,0,7,181,0,5,0,0,3,5,15,0,7,181,0,5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,188,6,13,6,10,10,15,7
2203,2203032015,2203032015,TOCORPURI,Zona,2,REGIÓN DE ANTOFAGASTA,22,EL LOA,SAN PEDRO DE ATACAMA,6036,4783,730,634,525,469,958,1443,1236,1108,897,733,603,475,360,213,173,129,65,46,22,1414,317,101,64,2272,7723,497,568,542,1287,977,3907,1051,542,202,714,5488,320,333,3,4054,528,24,79,5,2,140,329,333,3,4054,528,24,79,5,2,131,0,3,5,1,5,1,4,0,19,4,11,1,86,6059,203,612,239,338,578,403,340
2301,2301062022,2301062022,REFUGIO FRAGÜITA,Zona,2,REGIÓN DE ANTOFAGASTA,23,TOCOPILLA,TOCOPILLA,12391,12685,2424,2112,1866,1684,1687,2098,1754,1586,1578,1518,1586,1492,1248,884,635,410,285,170,59,1080,169,45,33,7346,15857,961,1931,1786,2781,2227,8013,1509,1436,630,2255,1956,842,416,4,65,114,20,288,2,2,203,848,416,4,65,114,20,288,2,2,197,0,3,3,0,15,1,1,0,26,2,11,0,141,9041,240,479,1246,1351,2781,1937,1313
2302,2302062009,2302062009,VALLE DE QUILLAGUA,Zona,2,REGIÓN DE ANTOFAGASTA,23,TOCOPILLA,MARÍA ELENA,2385,977,141,134,114,107,256,384,441,360,381,285,322,176,136,58,25,20,9,11,2,115,31,9,16,536,2696,69,97,191,407,319,1556,242,176,69,185,478,146,194,0,31,32,5,37,0,4,29,147,194,0,31,32,5,37,0,4,28,0,0,1,0,5,0,0,0,2,0,8,0,13,1922,19,550,80,82,195,67,52
3101,3101241005,3101241005,VIÑITA AZUL,Zona,3,REGIÓN DE ATACAMA,31,COPIAPÓ,COPIAPÓ,76503,77276,14402,12341,11017,11720,12996,13100,11476,10356,10024,9980,9550,8119,6169,4362,3260,2255,1499,819,334,3794,812,184,118,48854,95713,6979,11440,12316,19131,16694,47098,13706,8656,3826,11265,27035,5104,1699,43,206,624,9560,9015,12,8,764,5125,1699,43,206,624,9560,9015,12,8,743,0,0,21,0,90,1,7,0,86,50,97,0,412,60828,352,2278,6398,14425,17984,10273,4350
3102,3102042003,3102042003,TOTORALILLO,Zona,3,REGIÓN DE ATACAMA,31,COPIAPÓ,CALDERA,8960,8474,1544,1443,1251,1201,1262,1381,1246,1111,1117,1028,1245,1109,880,617,410,283,180,87,39,330,81,29,25,5503,10727,654,1319,1341,2187,1641,5293,1166,939,419,1574,3080,813,161,2,32,38,635,1233,2,3,161,820,161,2,32,38,635,1233,2,3,154,0,0,7,0,63,0,0,0,22,3,0,0,66,7386,119,385,583,1214,1625,1195,522
3103,3103072901,3103072901,VIÑA DEL CERRO,Zona,3,REGIÓN DE ATACAMA,31,COPIAPÓ,TIERRA AMARILLA,7735,6206,1205,1198,923,1002,1136,1207,1046,990,1017,979,977,739,552,351,258,165,133,47,16,405,57,16,8,4013,9034,686,1030,1056,1589,1311,4537,747,754,451,1556,4349,813,151,0,6,106,2505,679,2,3,84,819,151,0,6,106,2505,679,2,3,78,0,2,4,0,3,0,0,0,9,0,5,0,61,5455,26,385,785,1043,1928,782,306
3201,3201032901,3201032901,TORRES DEL INCA,Zona,3,REGIÓN DE ATACAMA,32,CHAÑARAL,CHAÑARAL,6265,5944,1127,1069,949,771,870,1022,792,784,775,736,772,737,553,421,328,255,140,71,37,90,22,6,3,3586,7964,541,962,939,1316,1107,4103,821,726,371,1162,1299,414,107,0,13,13,238,350,1,0,163,417,107,0,13,13,238,350,1,0,160,0,2,1,0,125,0,1,0,6,1,3,0,24,4547,51,179,608,806,1549,1092,344
